tu,/ty/,q,/ky/
cause,/koz/,dose,/doz/
corée,/kɔʁe/,doré,/dɔʁe/
cure,/kyʁ/,dur,/dyʁ/
dent,/dɑ̃/,camp,/kɑ̃/
doter,/dɔte/,coté,/kɔte/
doux,/du/,coup,/ku/
du,/dy/,q,/ky/
que,/kə/,de,/də/
qui,/ki/,die,/di/
quoi,/kwa/,doit,/dwa/
classe,/klas/,glace,/ɡlas/
craint,/kʁɛ̃/,grain,/ɡʁɛ̃/
crée,/kʁe/,gré,/ɡʁe/
gare,/ɡaʁ/,car,/kaʁ/
grand,/ɡʁɑ̃/,cran,/kʁɑ̃/
gris,/ɡʁi/,cri,/kʁi/
grise,/ɡʁiz/,crise,/kʁiz/
égard,/eɡaʁ/,écart,/ekaʁ/
cure,/kyʁ/,mur,/myʁ/
marc,/maʁ/,car,/kaʁ/
masse,/mas/,casse,/kas/
mode,/mɔd/,code,/kɔd/
moins,/mwɛ̃/,coin,/kwɛ̃/
mœurs,/mœʁ/,cœur,/kœʁ/
quai,/kɛ/,mai,/mɛ/
que,/kə/,me,/mə/
qui,/ki/,mis,/mi/
quoi,/kwa/,moi,/mwa/
chine,/ʃin/,chic,/ʃik/
manne,/man/,mac,/mak/
nomme,/nɔm/,comme,/kɔm/
note,/nɔt/,cote,/kɔt/
nous,/nu/,coup,/ku/
nu,/ny/,q,/ky/
nuit,/nɥi/,cuit,/kɥi/
que,/kə/,ne,/nə/
qui,/ki/,ni,/ni/
quoi,/kwa/,noix,/nwa/
colloque,/kɔlɔk/,cologne,/kɔlɔɲ/
casse,/kas/,face,/fas/
coup,/ku/,fou,/fu/
court,/kuʁ/,four,/fuʁ/
cure,/kyʁ/,fur,/fyʁ/
flot,/flo/,clos,/klo/
folie,/fɔli/,colis,/kɔli/
folle,/fɔl/,colle,/kɔl/
fut,/fy/,q,/ky/
quai,/kɛ/,fait,/fɛ/
quoi,/kwa/,foi,/fwa/
colle,/kɔl/,vol,/vɔl/
queue,/kø/,veut,/vø/
vache,/vaʃ/,cache,/kaʃ/
vent,/vɑ̃/,camp,/kɑ̃/
vie,/vi/,qui,/ki/
voit,/vwa/,quoi,/kwa/
vote,/vɔt/,cote,/kɔt/
voter,/vɔte/,coté,/kɔte/
vous,/vu/,coup,/ku/
vue,/vy/,q,/ky/
cent,/sɑ̃/,camp,/kɑ̃/
cure,/kyʁ/,sur,/syʁ/
que,/kə/,ce,/sə/
quel,/kɛl/,sel,/sɛl/
qui,/ki/,si,/si/
quoi,/kwa/,soi,/swa/
sais,/sɛ/,quai,/kɛ/
sas,/sas/,sac,/sak/
su,/sy/,q,/ky/
sœur,/sœʁ/,cœur,/kœʁ/
seize,/sɛz/,sec,/sɛk/
zar,/zaʁ/,car,/kaʁ/
champ,/ʃɑ̃/,camp,/kɑ̃/
chapeau,/ʃapo/,capot,/kapo/
chasse,/ʃas/,casse,/kas/
choix,/ʃwa/,quoi,/kwa/
chose,/ʃoz/,cause,/koz/
manque,/mɑ̃k/,manche,/mɑ̃ʃ/
marque,/maʁk/,marche,/maʁʃ/
marquer,/maʁke/,marcher,/maʁʃe/
roche,/ʁɔʃ/,rock,/ʁɔk/
shell,/ʃɛl/,quel,/kɛl/
camp,/kɑ̃/,jan,/ʒɑ̃/
colis,/kɔli/,joli,/ʒɔli/
joue,/ʒu/,coup,/ku/
jus,/ʒy/,q,/ky/
quai,/kɛ/,jet,/ʒɛ/
que,/kə/,je,/ʒə/
quel,/kɛl/,gel,/ʒɛl/
qui,/ki/,j,/ʒi/
quoi,/kwa/,joie,/ʒwa/
sage,/saʒ/,sac,/sak/
cause,/koz/,rose,/ʁoz/
marc,/maʁ/,mac,/mak/
mars,/maʁs/,max,/maks/
quoi,/kwa/,roi,/ʁwa/
rare,/ʁaʁ/,car,/kaʁ/
rend,/ʁɑ̃/,camp,/kɑ̃/
riz,/ʁi/,qui,/ki/
roue,/ʁu/,coup,/ku/
rue,/ʁy/,q,/ky/
sert,/sɛʁ/,sec,/sɛk/
cola,/kɔla/,coca,/kɔka/
cuit,/kɥi/,lui,/lɥi/
lent,/lɑ̃/,camp,/kɑ̃/
leur,/lœʁ/,cœur,/kœʁ/
lu,/ly/,q,/ky/
mal,/mal/,mac,/mak/
que,/kə/,le,/lə/
